variable_name,standardized_title,standardized_label,wave,file,codebook_file,block,question_label,question_text,item_text,question_type,dtype_observed,rows,nonempty_n,valid_n,missing_pct,unique_valid_values,example_values_raw,example_values_decoded,top_value_counts,value_labels,codebook_comment,display_skip_logic,construct,likely_geographic_granularity,origin_or_destination,privacy_anonymization
w1_dist_from_crrnt_river_bank,Distance from Current Riverbank,dist_from_crrnt_river_bank,w1,bemp_w1.csv,bemp_w1_codebook.csv,Geographical Variables,Distance from Current Riverbank,,,Geographical,continuous numeric,2170,2170,1987,8.43,1987,"[""31.9343684949168"", ""257.17393204119"", ""302.013869691839"", ""320.195367186304"", ""332.239323107103"", ""35.6849795256903"", ""34.3229332216492"", ""63.6053357995125""]","[""31.9343684949168"", ""257.17393204119"", ""302.013869691839"", ""320.195367186304"", ""332.239323107103"", ""35.6849795256903"", ""34.3229332216492"", ""63.6053357995125""]","{""31.9343684949168"": 1, ""257.17393204119"": 1, ""302.013869691839"": 1, ""320.195367186304"": 1, ""332.239323107103"": 1, ""35.6849795256903"": 1, ""34.3229332216492"": 1, ""63.6053357995125"": 1, ""37.4975933309657"": 1, ""88.542769093546"": 1}",{},"Distance between the respondent's house location in this survey and the riverbank of the Jamuna River at the time of the survey (in meters). This was calculated in ArcGIS using the easternmost riverbank line of the Jamuna River at the time of the survey, which was drawn manually in the Google Earth Engine using optical Sentinel-2 imagery.",| |,hazard proximity,meters or reported distance category,origin/current residence context,derived/reported distance; no house coordinates
w1_dist_from_prev_river_bank,Distance from Previous Riverbank,dist_from_prev_river_bank,w1,bemp_w1.csv,bemp_w1_codebook.csv,Geographical Variables,Distance from Previous Riverbank,,,Geographical,continuous numeric,2170,2170,1987,8.43,1987,"[""31.4002340512107"", ""358.010590264263"", ""348.807700419941"", ""364.338593724068"", ""375.570859091909"", ""61.0876163968912"", ""61.1700463030697"", ""96.9840095141723""]","[""31.4002340512107"", ""358.010590264263"", ""348.807700419941"", ""364.338593724068"", ""375.570859091909"", ""61.0876163968912"", ""61.1700463030697"", ""96.9840095141723""]","{""31.4002340512107"": 1, ""358.010590264263"": 1, ""348.807700419941"": 1, ""364.338593724068"": 1, ""375.570859091909"": 1, ""61.0876163968912"": 1, ""61.1700463030697"": 1, ""96.9840095141723"": 1, ""66.5466294995964"": 1, ""110.218810110991"": 1}",{},"Distance between the respondent's house location in this survey and the riverbank of the Jamuna River one year ago (in meters). This was calculated in ArcGIS using the easternmost riverbank line of the Jamuna River before the preceding monsoon season, which was drawn manually in the Google Earth Engine using optical Sentinel-2 imagery.",| |,hazard proximity,meters or reported distance category,origin/current residence context,derived/reported distance; no house coordinates
w1_q34,Household Origin City,hh_orign_city,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Origin City,From which city?,,Single Choice,integer-coded,2170,2170,1,99.95,1,"[""1""]","[""[name of city/town]:""]","{""1"": 1}","{""1"": ""[name of city/town]:"", ""-8"": ""DK"", ""-9"": ""RA""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_q33 [Household Origin Rural Urban] = ""From a city"" |",historical origin characteristic,country/city/district/village relation,origin,lower-level identifiers suppressed where applicable
w1_q34_txt,Household Origin City,hh_orign_city_txt,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Origin City,From which city?,,Open Text Box,string,2170,2170,1,99.95,1,"[""Tangail""]","[""Tangail""]","{""Tangail"": 1}",{},,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_q33 [Household Origin Rural Urban] = ""From a city"" |",historical origin characteristic,country/city/district/village relation,origin,lower-level identifiers suppressed where applicable
w1_q32,Household Origin Country,hh_orign_cntr,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Origin Country,From which country?,,Single Choice,integer-coded,2170,2170,1,99.95,1,"[""1""]","[""[name of country]:""]","{""1"": 1}","{""1"": ""[name of country]:"", ""-8"": ""DK"", ""-9"": ""RA""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_q31 [Household Origin Domestic Abroad] = ""Abroad"" |",domestic/international destination,country/internal status,destination,categorized
w1_q32_txt,Household Origin Country,hh_orign_cntr_txt,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Origin Country,From which country?,,Open Text Box,string,2170,2170,1,99.95,1,"[""India""]","[""India""]","{""India"": 1}",{},,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_q31 [Household Origin Domestic Abroad] = ""Abroad"" |",domestic/international destination,country/internal status,destination,categorized
w1_q31,Household Origin Domestic Abroad,hh_orign_dmstc_abrod,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Origin Domestic Abroad,Has your household moved to this village from a location within Bangladesh or from abroad?,,Single Choice,integer-coded,2170,2170,548,74.75,2,"[""1"", ""2""]","[""Bangladesh"", ""Abroad""]","{""1"": 547, ""2"": 1}","{""1"": ""Bangladesh"", ""2"": ""Abroad"", ""-8"": ""DK"", ""-9"": ""RA""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",domestic/international destination,country/internal status,destination,categorized
w1_q33,Household Origin Rural Urban,hh_orign_rural_urban,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Origin Rural Urban,Has your household moved to this village from another village or from a city?,,Single Choice,integer-coded,2170,2170,544,74.93,2,"[""1"", ""2""]","[""From another village"", ""From a city""]","{""1"": 543, ""2"": 1}","{""1"": ""From another village"", ""2"": ""From a city"", ""-8"": ""DK"", ""-9"": ""RA""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_q31 [Household Origin Domestic Abroad] = ""Bangladesh"" |",rural/urban settlement type,settlement type,destination,categorized
w1_q38x5,Household Origin Village,hh_orign_villg5,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Origin Village,What is the name of the village from which you moved to this village? [fill in whatever information the respondent can provide; be careful about spelling],District:,Multiple Choice,integer-coded,2170,2170,543,74.98,2,"[""1"", ""0""]","[""Selected"", ""Not Selected""]","{""1"": 309, ""0"": 234}","{""0"": ""Not Selected"", ""1"": ""Selected""}",Geographic identifiers below the district level were removed from the published dataset to protect participant confidentiality.,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_q33 [Household Origin Rural Urban] = ""From another village"" |",historical origin characteristic,country/city/district/village relation,origin,lower-level identifiers suppressed where applicable
w1_q38x5_txt,Household Origin Village,hh_orign_villg5_txt,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Origin Village,What is the name of the village from which you moved to this village? [fill in whatever information the respondent can provide; be careful about spelling],District:,Open Text Box,string,2170,2170,308,85.81,42,"[""Kurigram"", ""kurigram"", ""Bogura"", ""Tangail"", ""Sirajganj"", ""Gaibandha"", ""Jamalpur"", ""Sirajgonj""]","[""Kurigram"", ""kurigram"", ""Bogura"", ""Tangail"", ""Sirajganj"", ""Gaibandha"", ""Jamalpur"", ""Sirajgonj""]","{""Kurigram"": 87, ""kurigram"": 37, ""Bogura"": 23, ""Tangail"": 22, ""Sirajganj"": 19, ""Gaibandha"": 15, ""Jamalpur"": 10, ""Sirajgonj"": 9, ""Shirajgonj"": 9, ""manikgonj"": 8}",{},Geographic identifiers below the district level were removed from the published dataset to protect participant confidentiality.,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_q33 [Household Origin Rural Urban] = ""From another village"" |",historical origin characteristic,country/city/district/village relation,origin,lower-level identifiers suppressed where applicable
