filename,relative_path,file_class,wave,survey_mode,sample_type,rows,columns,apparent_respondent_id,apparent_household_id,apparent_village_location_id,distinct_respondent_or_location_ids,distinct_derived_household_prefixes,duplicate_respondent_id_rows,respondent_id_overlap_with_w1_pct,spatial_variable_count,key_spatial_variables,migration_variable_count,key_migration_variables,apparent_role,id_notes
bemp_w1.csv,data/raw/bemp/quantitative/bemp_w1.csv,quantitative CSV,w1,in-person,"baseline, all respondent types",2170,1767,w1_reg1,derive by removing final respondent-type suffix from w1_reg1,Lxx prefix of respondent code,2170,1703,0,100.0,25,w1_dist_from_crrnt_river_bank; w1_dist_from_prev_river_bank; w1_q133; w1_q133_txt; w1_q188; w1_q188_txt; w1_q189; w1_q189_txt; w1_q213; w1_q213_txt; w1_q31; w1_q32; w1_q32_txt; w1_q33; w1_q34; w1_q34_txt; w1_q35; w1_q37; w1_q38x5; w1_q38x5_txt; w1_q38x6; w1_q38x6_txt; w1_q38x88; w1_q38x99; w1_reg1,238,w1_q198; w1_q202; w1_q202_txt; w1_q234; w1_q234_txt; w1_q235; w1_q239; w1_q239_txt; w1_q28x1; w1_q28x10; w1_q28x11; w1_q28x12; w1_q28x13; w1_q28x14; w1_q28x15; w1_q28x15_txt; w1_q28x16; w1_q28x17; w1_q28x18; w1_q28x19; w1_q28x2; w1_q28x20; w1_q28x21; w1_q28x22; w1_q28x23; w1_q28x24; w1_q28x24_txt; w1_q28x25; w1_q28x26; w1_q28x27; … (+208 more),"in-person baseline, all respondent types survey data",Respondent code is the cross-wave key; household prefix is documented linkage key. Lxx/zone remain baseline-origin codes after migration.
bemp_w1_V.csv,data/raw/bemp/quantitative/bemp_w1_V.csv,quantitative CSV,w1_V,in-person,village profile,29,350,,,w1_V_reg1,29,,,,69,w1_V_q10x1; w1_V_q10x1_txt; w1_V_q10x2; w1_V_q10x2_txt; w1_V_q10x3; w1_V_q10x3_txt; w1_V_q18x1; w1_V_q18x1_txt; w1_V_q18x2; w1_V_q18x2_txt; w1_V_q18x3; w1_V_q18x3_txt; w1_V_q18x4; w1_V_q18x4_txt; w1_V_q18x5; w1_V_q18x5_txt; w1_V_q18x88; w1_V_q21x1; w1_V_q21x1_txt; w1_V_q21x2; w1_V_q21x2_txt; w1_V_q21x3; w1_V_q21x3_txt; w1_V_q21x4; w1_V_q21x4_txt; w1_V_q21x5; w1_V_q21x5_txt; w1_V_q21x88; w1_V_q23x1; w1_V_q23x1_txt; … (+39 more),0,,in-person village profile survey data,"Village-profile location code; joins to Lxx prefix embedded in respondent codes, subject to minor combined-code formatting in later profiles."
bemp_w2.csv,data/raw/bemp/quantitative/bemp_w2.csv,quantitative CSV,w2,phone,main longitudinal respondent,1545,789,w2_reg1,derive by removing final respondent-type suffix from w2_reg1,Lxx prefix of respondent code,1545,1409,0,100.0,6,w2_q1; w2_q3; w2_q3_txt; w2_q87; w2_q87_txt; w2_reg1,178,w2_q1; w2_q100; w2_q104; w2_q105; w2_q107; w2_q108; w2_q11; w2_q112; w2_q117; w2_q118; w2_q120; w2_q121; w2_q12x1; w2_q12x10; w2_q12x11; w2_q12x12; w2_q12x13; w2_q12x14; w2_q12x14_txt; w2_q12x15; w2_q12x16; w2_q12x17; w2_q12x18; w2_q12x19; w2_q12x2; w2_q12x20; w2_q12x21; w2_q12x22; w2_q12x23; w2_q12x24; … (+148 more),phone main longitudinal respondent survey data,Respondent code is the cross-wave key; household prefix is documented linkage key. Lxx/zone remain baseline-origin codes after migration.
bemp_w3.csv,data/raw/bemp/quantitative/bemp_w3.csv,quantitative CSV,w3,phone,main longitudinal respondent,1612,915,w3_reg1,derive by removing final respondent-type suffix from w3_reg1,Lxx prefix of respondent code,1611,1456,1,100.0,6,w3_q1; w3_q107; w3_q107_txt; w3_q3; w3_q3_txt; w3_reg1,180,w3_q1; w3_q105; w3_q108; w3_q11; w3_q112; w3_q118; w3_q120; w3_q124; w3_q125; w3_q127; w3_q128; w3_q12x1; w3_q12x10; w3_q12x11; w3_q12x12; w3_q12x13; w3_q12x14; w3_q12x14_txt; w3_q12x15; w3_q12x16; w3_q12x17; w3_q12x18; w3_q12x19; w3_q12x2; w3_q12x20; w3_q12x21; w3_q12x22; w3_q12x23; w3_q12x24; w3_q12x24_txt; … (+150 more),phone main longitudinal respondent survey data,Respondent code is the cross-wave key; household prefix is documented linkage key. Lxx/zone remain baseline-origin codes after migration.
bemp_w4.csv,data/raw/bemp/quantitative/bemp_w4.csv,quantitative CSV,w4,phone,main longitudinal respondent,1697,856,w4_reg1,derive by removing final respondent-type suffix from w4_reg1,Lxx prefix of respondent code,1697,1530,0,100.0,8,w4_q1; w4_q101; w4_q101_txt; w4_q24; w4_q24_txt; w4_q3; w4_q3_txt; w4_reg1,186,w4_q1; w4_q102; w4_q106; w4_q11; w4_q112; w4_q114; w4_q118; w4_q119; w4_q121; w4_q122; w4_q125; w4_q129; w4_q12x1; w4_q12x10; w4_q12x11; w4_q12x12; w4_q12x13; w4_q12x14; w4_q12x14_txt; w4_q12x15; w4_q12x16; w4_q12x17; w4_q12x18; w4_q12x19; w4_q12x2; w4_q12x20; w4_q12x21; w4_q12x22; w4_q12x23; w4_q12x24; … (+156 more),phone main longitudinal respondent survey data,Respondent code is the cross-wave key; household prefix is documented linkage key. Lxx/zone remain baseline-origin codes after migration.
bemp_w5.csv,data/raw/bemp/quantitative/bemp_w5.csv,quantitative CSV,w5,phone,main longitudinal respondent,1686,1172,w5_reg1,derive by removing final respondent-type suffix from w5_reg1,Lxx prefix of respondent code,1686,1521,0,100.0,8,w5_q1; w5_q143; w5_q143_txt; w5_q24; w5_q24_txt; w5_q3; w5_q3_txt; w5_reg1,186,w5_q1; w5_q11; w5_q12x1; w5_q12x10; w5_q12x11; w5_q12x12; w5_q12x13; w5_q12x14; w5_q12x14_txt; w5_q12x15; w5_q12x16; w5_q12x17; w5_q12x18; w5_q12x19; w5_q12x2; w5_q12x20; w5_q12x21; w5_q12x22; w5_q12x23; w5_q12x24; w5_q12x24_txt; w5_q12x25; w5_q12x26; w5_q12x27; w5_q12x28; w5_q12x29; w5_q12x29_txt; w5_q12x3; w5_q12x30; w5_q12x30_txt; … (+156 more),phone main longitudinal respondent survey data,Respondent code is the cross-wave key; household prefix is documented linkage key. Lxx/zone remain baseline-origin codes after migration.
bemp_w6_N.csv,data/raw/bemp/quantitative/bemp_w6_N.csv,quantitative CSV,w6_N,in-person,non-migrant respondent,2273,2736,w6_N_reg3,derive by removing final respondent-type suffix from w6_N_reg3,Lxx prefix of respondent code,2273,1704,0,95.47,20,w6_N_dist_from_crrnt_river_bank; w6_N_dist_from_prev_loc; w6_N_dist_from_prev_river_bank; w6_N_q110; w6_N_q120; w6_N_q165; w6_N_q165_txt; w6_N_q18a; w6_N_q18a_txt; w6_N_q18b; w6_N_q18b_txt; w6_N_q237; w6_N_q237_txt; w6_N_q58_L1; w6_N_q58_L2; w6_N_q58_L3; w6_N_q58_txt_L1; w6_N_q58_txt_L2; w6_N_q58_txt_L3; w6_N_reg3,1036,w6_N_q107; w6_N_q108; w6_N_q108_txt; w6_N_q109; w6_N_q110; w6_N_q111; w6_N_q112; w6_N_q112_txt; w6_N_q113; w6_N_q114; w6_N_q114_txt; w6_N_q115; w6_N_q116; w6_N_q116_txt; w6_N_q117; w6_N_q118; w6_N_q118_txt; w6_N_q119; w6_N_q120; w6_N_q121; w6_N_q122; w6_N_q122_txt; w6_N_q18a; w6_N_q18a_txt; w6_N_q18b; w6_N_q18b_txt; w6_N_q234; w6_N_q236; w6_N_q243; w6_N_q243_txt; … (+1006 more),in-person non-migrant respondent survey data,Respondent code is the cross-wave key; household prefix is documented linkage key. Lxx/zone remain baseline-origin codes after migration.
bemp_w6_M.csv,data/raw/bemp/quantitative/bemp_w6_M.csv,quantitative CSV,w6_M,in-person,migrant respondent,221,3006,w6_M_reg3,derive by removing final respondent-type suffix from w6_M_reg3,Lxx prefix of respondent code,221,197,0,98.19,21,w6_M_dist_from_prev_loc; w6_M_enum4; w6_M_enum4_txt; w6_M_q14; w6_M_q15; w6_M_q15_txt; w6_M_q16x5; w6_M_q16x5_txt; w6_M_q16x6; w6_M_q16x6_txt; w6_M_q16x88; w6_M_q16x99; w6_M_q186; w6_M_q186_txt; w6_M_q28a; w6_M_q28a_txt; w6_M_q28b; w6_M_q28b_txt; w6_M_q34; w6_M_q34_txt; w6_M_reg3,582,w6_M_q128x1; w6_M_q128x2; w6_M_q128x3; w6_M_q128x4; w6_M_q129bx1; w6_M_q129bx2; w6_M_q129bx3; w6_M_q129bx4; w6_M_q129bx5; w6_M_q129bx88; w6_M_q129bx99; w6_M_q131x1; w6_M_q131x2; w6_M_q131x3; w6_M_q131x88; w6_M_q131x99; w6_M_q14; w6_M_q15; w6_M_q15_txt; w6_M_q16x5; w6_M_q16x5_txt; w6_M_q16x6; w6_M_q16x6_txt; w6_M_q16x88; w6_M_q16x99; w6_M_q19; w6_M_q257; w6_M_q259; w6_M_q263; w6_M_q263_txt; … (+552 more),in-person migrant respondent survey data,Respondent code is the cross-wave key; household prefix is documented linkage key. Lxx/zone remain baseline-origin codes after migration.
bemp_w7.csv,data/raw/bemp/quantitative/bemp_w7.csv,quantitative CSV,w7,phone,main longitudinal respondent,1851,1251,w7_reg2,derive by removing final respondent-type suffix from w7_reg2,Lxx prefix of respondent code,1851,1648,0,100.0,21,w7_q1; w7_q143; w7_q143_txt; w7_q2; w7_q21; w7_q21_txt; w7_q3; w7_q3_txt; w7_q4; w7_q43; w7_q43_txt; w7_q5; w7_q5_txt; w7_q6; w7_q7x5; w7_q7x5_txt; w7_q7x6; w7_q7x6_txt; w7_q7x88; w7_q7x99; w7_reg2,218,w7_q1; w7_q14; w7_q141; w7_q146; w7_q147; w7_q147_txt; w7_q148; w7_q152; w7_q156; w7_q157; w7_q157_txt; w7_q158; w7_q168; w7_q169; w7_q171; w7_q172; w7_q175b; w7_q175b_txt; w7_q176; w7_q180; w7_q181; w7_q183; w7_q184; w7_q187b; w7_q187b_txt; w7_q188; w7_q2; w7_q21; w7_q21_txt; w7_q24a; … (+188 more),phone main longitudinal respondent survey data,Respondent code is the cross-wave key; household prefix is documented linkage key. Lxx/zone remain baseline-origin codes after migration.
bemp_w8.csv,data/raw/bemp/quantitative/bemp_w8.csv,quantitative CSV,w8,phone,main longitudinal respondent,1852,1017,w8_reg2,derive by removing final respondent-type suffix from w8_reg2,Lxx prefix of respondent code,1851,1648,1,100.0,21,w8_q1; w8_q118; w8_q118_txt; w8_q19; w8_q19_txt; w8_q2; w8_q3; w8_q3_txt; w8_q4; w8_q41; w8_q41_txt; w8_q5; w8_q5_txt; w8_q6; w8_q8x5; w8_q8x5_txt; w8_q8x6; w8_q8x6_txt; w8_q8x88; w8_q8x99; w8_reg2,218,w8_q1; w8_q116; w8_q12; w8_q121; w8_q122; w8_q122_txt; w8_q123; w8_q127; w8_q131; w8_q132; w8_q132_txt; w8_q133; w8_q138; w8_q139; w8_q141; w8_q142; w8_q145b; w8_q145b_txt; w8_q146; w8_q150; w8_q151; w8_q153; w8_q154; w8_q157b; w8_q157b_txt; w8_q158; w8_q19; w8_q19_txt; w8_q2; w8_q22a; … (+188 more),phone main longitudinal respondent survey data,Respondent code is the cross-wave key; household prefix is documented linkage key. Lxx/zone remain baseline-origin codes after migration.
