table_name,column_position,column_name,observed_dtype,description,role
events,1,event_id,object,"Deterministic event key: respondent ID, wave, and within-respondent event sequence.",derived/analytic
events,2,respondent_id,object,Exact public BEMP respondent code used for cross-wave linkage.,source/provenance
events,3,household_id_derived,object,Respondent code with the final role suffix removed; derived baseline household key.,derived/analytic
events,4,baseline_location_lxx,object,Pseudonymized baseline sampling-location prefix from respondent code.,derived/analytic
events,5,origin_district_codebook,object,Baseline district mapped from Lxx using the public respondent-code comment.,derived/analytic
events,6,wave,object,Wave.,derived/analytic
events,7,wave_number,int64,Wave number.,derived/analytic
events,8,event_sequence_within_respondent,int64,Event sequence within respondent.,derived/analytic
events,9,event_class,object,Conservative rule-based event category.,derived/analytic
events,10,event_detection_confidence,object,Confidence in event timing/classification from questionnaire routing.,derived/analytic
events,11,event_detection_rule,object,Exact deterministic rule used to create the event.,derived/analytic
events,12,current_location_state,object,Current location state.,derived/analytic
events,13,previous_migration_status,object,Previous migration status.,source/provenance
events,14,previous_migration_type,object,Temporary/permanent classification of the previous survey's migration.,source/provenance
events,15,new_old_location,object,New old location.,derived/analytic
events,16,domestic_abroad,object,Domestic abroad.,derived/analytic
events,17,destination_rural_urban,object,Destination rural urban.,derived/analytic
events,18,destination_admin_level_raw,object,"Raw endpoint construct: city, district, origin district, abroad, or unavailable.",derived/analytic
events,19,destination_admin_raw,object,Public named city or rural district; origin district for return events.,source/provenance
events,20,destination_admin_standardized_provisional,object,Provisional string normalization only; not official gazetteer resolution.,derived/analytic
events,21,destination_city_code,float64,Destination city code.,source/provenance
events,22,destination_city_category,object,Destination city category.,source/provenance
events,23,destination_city_other_text,object,Destination city other text.,source/provenance
events,24,destination_rural_district_raw,object,Destination rural district raw.,source/provenance
events,25,destination_rural_division_raw,object,Destination rural division raw.,source/provenance
events,26,destination_observed_directly,bool,"True for a public destination response, false for inferred return-to-origin endpoint.",derived/analytic
events,27,destination_named_admin_available,bool,True when a public named city/district endpoint is present.,derived/analytic
events,28,destination_district_ready_without_city_lookup,bool,True for district/origin-district endpoints; cities remain unresolved.,derived/analytic
events,29,needs_city_to_district_lookup,bool,True only when a city endpoint still lacks an official containing district after this resolution pass.,derived/analytic
events,30,city_to_district_lookup_required_raw,bool,True when the original public endpoint was a named city requiring containment resolution.,derived/analytic
events,31,normalization_action_provisional,object,Normalization action provisional.,derived/analytic
