priority,feature_family,dataset,publisher,source_url,spatial_resolution,temporal_coverage,license_access,proposed_variable,district_transform,time_rule,model_role,download_status,main_limitation,metadata_verified_date
1,historical flood exposure,Global Flood Database v1,Cloud to Street / Dartmouth Flood Observatory; Earth Engine catalog,https://developers.google.com/earth-engine/datasets/catalog/GLOBAL_FLOOD_DB_MODIS_EVENTS_V1,250 m event classification; catalog delivery retains 30 m grid,2000-2018,CC BY-NC 4.0; Earth Engine research access,gfd_ever_flooded_land_share_2000_2018,Union event flooded pixels; exclude JRC permanent water; flooded land area / valid district land area,Universally pre-period; fixed across events,PRIMARY hazard construct,metadata verified; not downloaded,"Selected reported/mapped events, not a complete flood climatology; noncommercial license",2026-08-28
2,settlement intensity,"GHS-BUILT-S R2023A, epoch 2020",European Commission Joint Research Centre / Copernicus GHSL,https://human-settlement.emergency.copernicus.eu/dataToolsOverview.php,100 m preferred,1975-2020 observed/modelled epochs at 5-year intervals; later projections available,Open and free GHSL data,ghsl_built_surface_share_2020,Sum built-up square metres / district land square metres,2020 epoch is universally pre-period,PRIMARY settlement/opportunity construct,metadata verified; not downloaded,"Built-up surface is a proxy for opportunity, not employment or wages",2026-08-28
3,urban accessibility,Travel time to cities and ports in 2015,Malaria Atlas Project / University of Oxford; Figshare distribution,https://figshare.com/articles/dataset/Travel_time_to_cities_and_ports_in_the_year_2015/7638134,30 arc seconds (~1 km),2015,Public Figshare dataset; verify file-specific license on download,travel_time_city_ge_50k_median_2015,"Median land-pixel minutes to nearest settlement >=50,000; population-weighted mean as sensitivity",Universally pre-period; fixed across events,PRIMARY accessibility construct,metadata verified; not downloaded,"Modelled relative accessibility, not observed trip time; 2015 network",2026-08-28
4,agricultural land dependence,ESA WorldCover 2020 v100,European Space Agency WorldCover consortium,https://esa-worldcover.org/en/data-access,10 m,2020 map; 2021 map separately available,CC BY 4.0; COG/AWS/Zenodo delivery,worldcover_cropland_share_2020,Cropland-class land area / valid district land area,2020 version is universally pre-period,PRIMARY agriculture construct,metadata verified; not downloaded,Global overall accuracy 74.4%; 2020 and 2021 versions use different algorithms and must not be differenced,2026-08-28
5,surface-water and river-change exposure,JRC Global Surface Water,European Commission Joint Research Centre / Google,https://global-surface-water.appspot.com/download,30 m,1984-2024; yearly/monthly history and summary layers,Copernicus; free without restriction of use with acknowledgement,jrc_seasonal_or_permanent_water_share_through_2020,Water-observed area share through 2020; separately compute water gain/loss within a river-corridor mask,Truncate at 2020 universally; event-specific later histories only after timing gate,HAZARD robustness and erosion proxy,metadata verified; not downloaded,Water occurrence/change is not direct riverbank erosion; 2022-2024 layers would be post-choice for some events,2026-08-28
6,economic activity,VIIRS annual nighttime lights VNL v2,"Earth Observation Group, Colorado School of Mines",https://eogdata.mines.edu/products/vnl/,15 arc seconds (~500 m),Annual consistently processed series from 2012; 2020 documented baseline,Download service; verify product terms at acquisition,viirs_log_radiance_sum_2020,log1p(sum background-screened radiance over district); lit-area share sensitivity,Use 2020 universally; do not use event-year composites in first model,"Settlement/opportunity robustness, not additional primary coefficient",metadata verified; not downloaded,"Proxy affected by electrification, blooming, and non-employment light sources",2026-08-28
7,population distribution,"GHS-POP R2023A, epoch 2020",European Commission Joint Research Centre / Copernicus GHSL,https://human-settlement.emergency.copernicus.eu/dataToolsOverview.php,100 m or 1 km product,1975-2020 epochs plus projections,Open and free GHSL data,ghsl_population_2020,Sum grid population within district; mass-preserving boundary allocation,Use 2020 as leakage-safe gravity sensitivity,Replace—not add to—BBS 2022 gravity population in strict timing sensitivity,metadata verified; not downloaded,Modelled gridded population; correlated with built-up area and must not enter redundantly,2026-08-28
8,rainfall climate and extremes,CHIRPS v3 final,"Climate Hazards Center, UC Santa Barbara",https://www.chc.ucsb.edu/data/chirps3,0.05 degrees,1981 to near-present,GeoTIFF/NetCDF/BIL/COG; confirm version-specific citation,chirps_extreme_rain_days_climatology_through_2020,"District mean annual count above local 95th percentile, 1981-2020",Use climatology ending 2020 universally; event-window measures only in a separate origin-shock validation,SECONDARY hazard robustness,metadata verified; not downloaded,Rainfall is not flooding; 0.05-degree cells are coarse for small districts,2026-08-28
9,observed event flood extent,Copernicus Global Flood Monitoring,Copernicus Emergency Management Service / European Commission JRC,https://european-flood.emergency.copernicus.eu/sites/default/files/AM/AM2024/data%20availability%20and%20download.pdf,20 m pixel sampling,Full archive from 2015 to ongoing,STAC/API/UI access; verify operational product terms before bulk acquisition,gfm_prior_flooded_share_before_event_cutoff,Union quality-screened ensemble flood extent strictly before each event cutoff / district land area,Event-specific only; never include flood observations after strict cutoff,"LATER dynamic robustness, excluded from first static model",metadata verified; not downloaded,Complex event-time processing and cloud/radar/exclusion-mask issues; high leakage risk if cutoff is mishandled,2026-08-28
10,"roads, markets, schools, health facilities",No nationally complete historical snapshot yet verified,TBD,,TBD,TBD,TBD,deferred,Do not construct from current OSM/facility points without a dated pre-period snapshot,Must predate 2021 for universal static use,HOLD,"blocked on temporal provenance, not data availability",Current snapshots risk encoding post-move infrastructure and differential mapping effort,2026-08-28
